Data Lanc.;Descrição;Valor;Saldo
2023-07-07;COMPRA 8843 WELL S COIMBRA COIMBRA  CONTACTLESS;"-83,92";"10 371,67"
2023-07-07;COMPRA 8843 CONTINENTE COIMBRA COIM CONTACTLESS;"-146,29";"10 225,38"
2023-07-07;COMPRA 8843 CELEIRO FORUM COIMBRCOI CONTACTLESS;"-3,16";"10 222,22"
2023-07-07;COMPRA 8843 MARGEM ESTAVEL COIMBRA  CONTACTLESS;"-22,15";"10 200,07"
2023-07-10;PAG SERV 10559/853522769 IFTHENPAY LDA;-143;"10 057,07"
2023-07-10;TRF P/ Marcley Carvalho;"-420,11";"9 636,96"
2023-07-17;TRF P/ Nathalie Depuydt;-60;"9 576,96"
2023-07-18;PAG.IGCP -104423005857546;"-1 175,00";"8 401,96"
2023-07-19;"COMPRA 8843 STYLE SATELLITE, LDATAVEIRO";-160;"8 241,96"
2023-07-24;"COMPRA 8843 AUTO ESPADANEIRA, UNS M CONTACTLESS";"-219,97";"8 021,99"
2023-08-02;COMPRA 8843 T LAGUNA SA ROQUETA SANT FERRAN DES;"-21,2";"8 000,79"
2023-08-02;COMPRA 8843 EL PATIO DE NA XAMENA ST FERRAN DE;"-21,1";"7 979,69"
2023-08-02;COMPRA 8843 PIZZERIA MACONDO SANT FERRAN DES;-58;"7 921,69"
2023-08-02;COMPRA 8843 10.7 PLATJA MITJORES;"-133,3";"7 788,39"
2023-08-04;COMPRA 8843 RESTAURANTE .COME CONDE CONTACTLESS;"-47,3";"7 741,09"
2023-08-07;COMPRA 8843 adidas FO Las Rozas Mad CONTACTLESS;"-38,3";"7 702,79"
2023-08-07;COMPRA 8843 SUMBAWA SL MADRID ES    CONTACTLESS;"-20,9";"7 681,89"
2023-08-07;COMPRA 8843 EST SERVICO ES VILLACASTIN NORTE VI;"-45,49";"7 636,40"
2023-08-07;"COMPRA 8843 SKECHERS USA IBERIA, S. CONTACTLESS";"-55,99";"7 580,41"
2023-08-07;COMPRA 8843 CHATTER LAS ROZAS LAS R CONTACTLESS;-36;"7 544,41"
2023-08-07;COMPRA 8843 LEFTIES ZARA RDC ROZAS  CONTACTLESS;"-12,99";"7 531,42"
2023-08-08;COMPRA 8843 Castellana de Autopista CONTACTLESS;"-11,5";"7 519,92"
2023-08-09;COMPRA 8843 AUCHAN COIMBRA COIMBRA  CONTACTLESS;"-190,53";"7 329,39"
2023-08-22;VIS PAGAMENTO CARTAO DE CREDITO;"-1 268,60";"6 060,79"
2023-08-23;COMPRA 8843 SEASIDE 3040-389 COIMBR CONTACTLESS;"-34,7";"6 026,09"
